year,ER_release_num,ER_total_family_income,ER_household_ID,ER_interview_num,ER_sequence_num,ER_relation_to_head,ER_age,ER_famid1968,ER_perid1968
2001,ER17001,ER20456,ER20393,ER33601,ER33602,ER33603,ER33604,ER3002,ER3001
2002,,,,,,,,,
2003,ER21001,ER24099,ER24170,ER33701,ER33702,ER33703,ER33704,ER3002,ER3001
2004,,,,,,,,,
2005,ER25001,ER28037,ER28069,ER33801,ER33802,ER33803,ER33804,ER3002,ER3001
2006,,,,,,,,,
2007,ER36001,ER41027,ER41059,ER33901,ER33902,ER33903,ER33904,ER3002,ER3001
2008,,,,,,,,,
2009,ER42001,ER46935,ER47003,ER34001,ER34002,ER34003,ER34004,ER3002,ER3001
2010,,,,,,,,,
2011,ER47301,ER52343,ER5247,ER34101,ER34102,ER34103,ER34104,ER3002,ER3001
2012,,,,,,,,,
2013,ER53001,ER58152,ER58245,ER34201,ER34202,ER34203,ER34204,ER3002,ER3001
2014,,,,,,,,,
2015,ER60001,ER65349,ER65481,ER34301,ER34302,ER34303,ER34305,ER3002,ER3001
2016,,,,,,,,,
2017,ER6601,ER71426,ER71560,ER34501,ER34502,ER34503,ER34504,ER3002,ER3001
